job_id,outcome,horizon,beta,se,lower95,upper95,z_score,p_value_normal,n,treatment_id,control_ids_used,response_type,inference_method,covariance_estimator,covariance_lags,rsquared,warning_flags,dropped_control_ids,tmle_fold_count,ridge_alpha,tmle_epsilon,nuisance_r2_outcome,nuisance_r2_treatment
baseline_tdc_lp_credit_spreads,baa_aaa,0,4.105466635444711e-06,4.877602462311151e-05,-9.149554162585384e-05,9.970647489674326e-05,0.08416976715850313,0.9329214551800025,93,tdc_bank_only_qoq,"GDP,gdp_deflator,FEDFUNDS,TOTRESNS,dflmx_k200_f1,dflmx_k200_f2,dflmx_k200_f3,dflmx_k200_f4",direct_at_h,tmle_crossfit_ridge_newey_west,newey_west,1,0.000159,,,3,1.0,4096391.86929997,0.0,0.149912
baseline_tdc_lp_credit_spreads,baa_aaa,1,9.101435243904983e-06,5.560468733390008e-05,-9.988375193053917e-05,0.00011808662241834914,0.16368107942504664,0.8699822130798136,93,tdc_bank_only_qoq,"GDP,gdp_deflator,FEDFUNDS,TOTRESNS,dflmx_k200_f1,dflmx_k200_f2,dflmx_k200_f3,dflmx_k200_f4",direct_at_h,tmle_crossfit_ridge_newey_west,newey_west,1,0.000899,,,3,1.0,3281326.36874062,0.0,0.149912
baseline_tdc_lp_credit_spreads,baa_aaa,2,8.804348247046759e-06,5.97351452880316e-05,-0.00010827653651749518,0.0001258852330115887,0.14738975195580176,0.8828243939383684,92,tdc_bank_only_qoq,"GDP,gdp_deflator,FEDFUNDS,TOTRESNS,dflmx_k200_f1,dflmx_k200_f2,dflmx_k200_f3,dflmx_k200_f4",direct_at_h,tmle_crossfit_ridge_newey_west,newey_west,2,0.001104,,,3,1.0,2387940.05804277,0.0,0.159653
baseline_tdc_lp_credit_spreads,baa_aaa,4,3.833559659483896e-05,6.535035822459567e-05,-8.975110552536856e-05,0.00016642229871504646,0.5866164721406336,0.5574613172670153,90,tdc_bank_only_qoq,"GDP,gdp_deflator,FEDFUNDS,TOTRESNS,dflmx_k200_f1,dflmx_k200_f2,dflmx_k200_f3,dflmx_k200_f4",direct_at_h,tmle_crossfit_ridge_newey_west,newey_west,4,0.016949,,,3,1.0,-626197.24234014,0.0,0.185598
baseline_tdc_lp_credit_spreads,baa_aaa,8,1.8409170653825004e-05,4.0086355787939483e-05,-6.0160086690536375e-05,9.697842799818639e-05,0.4592378202501423,0.6460633941868923,86,tdc_bank_only_qoq,"GDP,gdp_deflator,FEDFUNDS,TOTRESNS,dflmx_k200_f1,dflmx_k200_f2,dflmx_k200_f3,dflmx_k200_f4",direct_at_h,tmle_crossfit_ridge_newey_west,newey_west,8,0.002372,,,3,1.0,-2661417.08453411,0.0,0.292651
baseline_tdc_lp_credit_spreads,investment_grade_oas,0,2.3982179488654077e-07,9.793025556154772e-07,-1.6796112141197946e-06,2.1592548038928764e-06,0.24489040032762532,0.8065412948481943,93,tdc_bank_only_qoq,"GDP,gdp_deflator,FEDFUNDS,TOTRESNS,dflmx_k200_f1,dflmx_k200_f2,dflmx_k200_f3,dflmx_k200_f4",direct_at_h,tmle_crossfit_ridge_newey_west,newey_west,1,0.001558,,,3,1.0,58879.68939008,0.0,0.149912
baseline_tdc_lp_credit_spreads,investment_grade_oas,1,3.7215535014168043e-07,1.1190863886528637e-06,-1.8212539716179326e-06,2.5655646719012934e-06,0.3325528340932414,0.739471851586547,93,tdc_bank_only_qoq,"GDP,gdp_deflator,FEDFUNDS,TOTRESNS,dflmx_k200_f1,dflmx_k200_f2,dflmx_k200_f3,dflmx_k200_f4",direct_at_h,tmle_crossfit_ridge_newey_west,newey_west,1,0.003915,,,3,1.0,36675.90146772,0.0,0.149912
baseline_tdc_lp_credit_spreads,investment_grade_oas,2,4.4839318917905173e-07,1.3207869787758251e-06,-2.1403492892215656e-06,3.037135667579669e-06,0.33948940774283387,0.7342410752079715,93,tdc_bank_only_qoq,"GDP,gdp_deflator,FEDFUNDS,TOTRESNS,dflmx_k200_f1,dflmx_k200_f2,dflmx_k200_f3,dflmx_k200_f4",direct_at_h,tmle_crossfit_ridge_newey_west,newey_west,2,0.005618,,,3,1.0,14648.07114202,0.0,0.149912
baseline_tdc_lp_credit_spreads,investment_grade_oas,4,8.53774723406741e-07,1.345589731242819e-06,-1.7835811498291841e-06,3.4911305966426663e-06,0.6344985425967647,0.5257555176323256,91,tdc_bank_only_qoq,"GDP,gdp_deflator,FEDFUNDS,TOTRESNS,dflmx_k200_f1,dflmx_k200_f2,dflmx_k200_f3,dflmx_k200_f4",direct_at_h,tmle_crossfit_ridge_newey_west,newey_west,4,0.015938,,,3,1.0,-48585.46956347,0.0,0.105879
baseline_tdc_lp_credit_spreads,investment_grade_oas,8,5.730658833055974e-07,8.939893993734829e-07,-1.1791533394664292e-06,2.3252851060776238e-06,0.6410208932088098,0.5215091085619572,87,tdc_bank_only_qoq,"GDP,gdp_deflator,FEDFUNDS,TOTRESNS,dflmx_k200_f1,dflmx_k200_f2,dflmx_k200_f3,dflmx_k200_f4",direct_at_h,tmle_crossfit_ridge_newey_west,newey_west,8,0.004239,,,3,1.0,-72215.54882179,0.0,0.299809
